question_id,question_correct_rate,question_avg_response_time,question_response_time_std,question_interaction_count,difficulty_encoded,response_time_log,topic_Classification & Modeling,topic_Clustering & Unsupervised,topic_Data & Features,topic_Misc / Tools,topic_Rules & Patterns,topic_unknown,difficulty_x_topic_Classification & Modeling,difficulty_x_topic_Clustering & Unsupervised,difficulty_x_topic_Data & Features,difficulty_x_topic_Misc / Tools,difficulty_x_topic_Rules & Patterns,difficulty_x_topic_unknown,correct
60,0.5639081468225616,-0.39356127607322594,-0.5054953305423884,1.3746950211952755,0,-0.5205751486573563,1,0,0,0,0,0,0,0,0,0,0,0,1
123,0.571438167048103,-0.6840795948613619,-0.9021211614649218,0.044705529144561655,0,-0.5182212051362692,0,0,0,0,1,0,0,0,0,0,0,0,1
18,-2.4343978230082954,1.0177194408864998,0.4521127441273781,-0.14529296971982605,2,1.2581339668556293,0,1,0,0,0,0,0,2,0,0,0,0,0
127,-0.46932085171134913,1.7709001151868076,1.9743001549316421,0.044705529144561655,1,1.5855925326782425,0,0,0,0,1,0,0,0,0,0,1,0,0
37,-0.14288165029942937,0.5315173616469385,-0.15303395999237152,0.23470402800894935,0,0.6334458553227629,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0.41532431423418525,-0.6571303014721108,-0.7501408747855717,0.044705529144561655,0,-0.5088243344471783,0,1,0,0,0,0,0,0,0,0,0,0,1
64,0.7873413403536483,-1.4919267395728504,-1.0766909350482308,0.4247025268733371,0,-1.5486547928714207,0,1,0,0,0,0,0,0,0,0,0,0,1
25,-1.7628263678899887,1.4498047182125795,0.584622380062202,-0.5252899674486015,2,1.4246289345135237,0,1,0,0,0,0,0,2,0,0,0,0,0
6,0.1719788116721598,0.05240828769427301,-0.16026262363182758,-2.4252749560924785,0,0.13864189039782432,0,0,0,1,0,0,0,0,0,0,0,0,1
140,0.8211270579955481,-1.127551348708158,-1.0601330941468274,-0.5252899674486015,0,-0.7029595508621821,0,0,0,0,1,0,0,0,0,0,0,0,1
16,0.21959235036825592,1.2561008669520632,0.5017135098894712,-1.6652809606349277,0,1.3770222500011353,0,0,1,0,0,0,0,0,0,0,0,0,1
136,0.2523266582218214,-0.18408511239477296,0.06133515553783667,-1.0952854640417646,0,-0.6871283289938064,0,0,0,0,1,0,0,0,0,0,0,0,1
33,0.6011599987965244,-0.6063342631501952,-0.6314189384589611,0.9946980234665002,0,-0.4181849133644879,0,0,1,0,0,0,0,0,0,0,0,0,1
34,0.557947263245004,-0.6131880188226092,-0.5788228591444924,1.1846965223308878,0,-0.2720144584805468,0,0,1,0,0,0,0,0,0,0,0,0,1
78,-0.49186887080798847,1.5982034292388005,1.4417259435401013,-1.2852839629061523,1,1.3863400071535936,0,1,0,0,0,0,0,1,0,0,0,0,0
33,0.6011599987965244,-0.6063342631501952,-0.6314189384589611,0.9946980234665002,0,-0.9883976361388955,0,0,1,0,0,0,0,0,0,0,0,0,1
31,-0.6477068319312879,1.323288078781502,2.643086533744072,-1.6652809606349277,1,1.0158380921140953,0,0,0,1,0,0,0,0,0,1,0,0,1
17,-0.216094144145666,0.5684545686580579,0.13318035259690775,0.6147010257377248,0,0.5517754752405072,0,0,1,0,0,0,0,0,0,0,0,0,1
25,-1.7628263678899887,1.4498047182125795,0.584622380062202,-0.5252899674486015,2,1.5182625198492892,0,1,0,0,0,0,0,2,0,0,0,0,1
8,0.87495942103483,-0.8984325713737316,-0.5130526742349769,-0.5252899674486015,0,-0.9091120663054266,0,0,1,0,0,0,0,0,0,0,0,0,1
13,0.7407326956815721,-0.4981075397435976,-0.43427655070294097,0.6147010257377248,0,-0.228893851517803,0,0,0,1,0,0,0,0,0,0,0,0,1
118,-1.9971101542298264,0.8931602193651963,0.5906525920214545,-2.045277958363703,2,1.4536446334798847,1,0,0,0,0,0,2,0,0,0,0,0,0
131,0.7795899707999938,-0.9387925848847133,-0.4271797432259956,0.044705529144561655,0,-0.6444387214649604,0,1,0,0,0,0,0,0,0,0,0,0,1
114,-0.43384167408889446,0.9148979635939658,2.10097912665727,1.5646935200596632,0,0.7800759096751159,1,0,0,0,0,0,0,0,0,0,0,0,1
21,-2.7676530217861797,0.6985240642502534,0.31180836380932325,0.23470402800894935,2,1.529673516842617,0,0,0,1,0,0,0,0,0,2,0,0,0
133,0.011516665670379445,0.47816069958173024,0.15388538998420156,0.23470402800894935,0,0.8033783177956335,0,0,0,0,1,0,0,0,0,0,0,0,0
37,-0.14288165029942937,0.5315173616469385,-0.15303395999237152,0.23470402800894935,0,0.6945635647654393,1,0,0,0,0,0,0,0,0,0,0,0,1
104,0.5776438242263447,-1.0395741656627533,-1.5218095460448768,0.23470402800894935,0,0.28943958303802875,1,0,0,0,0,0,0,0,0,0,0,0,1
58,0.3112484123582404,-0.13923291907309093,-0.3105121175681538,0.044705529144561655,0,-0.08287500976197573,1,0,0,0,0,0,0,0,0,0,0,0,1
117,0.698366237690158,-0.997379566363776,-1.1364031117008466,-1.0952854640417646,0,-0.4786848344574604,1,0,0,0,0,0,0,0,0,0,0,0,1
139,0.5837145758137556,-0.589336051094232,-0.6046010879164883,0.4247025268733371,0,-0.6080194421210421,0,0,0,0,1,0,0,0,0,0,0,0,1
11,0.8836658726759392,-0.8740654801664903,-0.6658099877571334,0.044705529144561655,0,-0.582051556094339,0,0,0,1,0,0,0,0,0,0,0,0,1
94,0.8779275295488443,-0.8909817385797031,-0.8887889027719983,-0.33529146858421377,0,-0.541055760551514,1,0,0,0,0,0,0,0,0,0,0,0,1
113,0.23927994985554413,-0.1777783432435181,0.3065056136374489,-0.33529146858421377,0,-0.7357262379317319,1,0,0,0,0,0,0,0,0,0,0,0,1
138,0.8098761325572423,-0.836674845801153,-0.8422281012524391,-1.0952854640417646,0,-1.3088506378613907,0,0,0,0,1,0,0,0,0,0,0,0,1
134,-1.1483563674384258,1.4644828359650577,1.593681064379727,0.8046995246021125,1,1.0523930575505913,0,0,0,0,1,0,0,0,0,0,1,0,1
132,-0.013756060275637085,0.3838628894046642,-0.16758445331811073,-0.14529296971982605,0,0.7662070232486556,0,0,0,0,1,0,0,0,0,0,0,0,1
112,0.17764706769534208,1.2871149009542924,1.1243285544636878,1.3746950211952755,0,1.4534448189196143,1,0,0,0,0,0,0,0,0,0,0,0,0
92,0.8445864344413765,-0.8705751691755431,-0.2768351416516325,0.8046995246021125,0,-1.0219813878192128,1,0,0,0,0,0,0,0,0,0,0,0,1
103,-2.0718162968765546,0.3708976950805329,0.269305075539882,-1.2852839629061523,2,0.5306197500168971,0,1,0,0,0,0,0,2,0,0,0,0,0
87,0.3291811201388895,-0.5441181906402285,-0.6788569831328753,0.4247025268733371,0,-1.0110533147885796,0,1,0,0,0,0,0,0,0,0,0,0,1
118,-1.9971101542298264,0.8931602193651963,0.5906525920214545,-2.045277958363703,2,0.4517592640818264,1,0,0,0,0,0,2,0,0,0,0,0,0
113,0.23927994985554413,-0.1777783432435181,0.3065056136374489,-0.33529146858421377,0,-0.15038749395986498,1,0,0,0,0,0,0,0,0,0,0,0,1
150,0.3449995673040472,-0.2984901021510301,-0.089671566242416,-1.47528246177054,0,-0.18045427748735185,0,0,0,0,1,0,0,0,0,0,0,0,1
77,-0.6575427035321258,1.7424298157650362,1.8163409156462293,0.23470402800894935,1,1.128740996923241,0,1,0,0,0,0,0,1,0,0,0,0,1
49,-2.8306517767246246,0.7355700264671651,0.5936632702315654,1.754692018924051,2,1.0790866800065675,0,0,1,0,0,0,0,0,2,0,0,0,0
87,0.3291811201388895,-0.5441181906402285,-0.6788569831328753,0.4247025268733371,0,-0.4494273300167694,0,1,0,0,0,0,0,0,0,0,0,0,1
6,0.1719788116721598,0.05240828769427301,-0.16026262363182758,-2.4252749560924785,0,0.15005382069389206,0,0,0,1,0,0,0,0,0,0,0,0,1
79,-0.06786942641887178,0.36944756736185524,-0.2042326804366343,-0.9052869651773768,0,0.9484613359719888,1,0,0,0,0,0,0,0,0,0,0,0,0
78,-0.49186887080798847,1.5982034292388005,1.4417259435401013,-1.2852839629061523,1,1.662311112135622,0,1,0,0,0,0,0,1,0,0,0,0,1
35,0.6011599987965244,-0.6068030014459013,-0.544545466619914,0.9946980234665002,0,-0.5188095133931908,0,0,1,0,0,0,0,0,0,0,0,0,1
14,-0.7618273357298131,1.582321823073024,1.3386654494707158,-0.7152884663129891,1,1.0333077139469131,0,0,1,0,0,0,0,0,1,0,0,0,1
145,-2.297523072029207,1.3377599240336107,1.7801044194955888,-1.2852839629061523,2,0.750620788255712,0,0,1,0,0,0,0,0,2,0,0,0,0
17,-0.216094144145666,0.5684545686580579,0.13318035259690775,0.6147010257377248,0,1.110710800774996,0,0,1,0,0,0,0,0,0,0,0,0,0
77,-0.6575427035321258,1.7424298157650362,1.8163409156462293,0.23470402800894935,1,1.8176462062127414,0,1,0,0,0,0,0,1,0,0,0,0,0
101,0.7275520198620213,-0.9609850058121482,-0.6735695044943646,0.044705529144561655,0,-1.3310329804142804,1,0,0,0,0,0,0,0,0,0,0,0,1
131,0.7795899707999938,-0.9387925848847133,-0.4271797432259956,0.044705529144561655,0,-0.4786848344574604,0,1,0,0,0,0,0,0,0,0,0,0,1
76,0.1408167633547376,0.49801409431163635,0.2718437585817132,-1.0952854640417646,0,0.4692975587516601,0,1,0,0,0,0,0,0,0,0,0,0,1
39,0.6484176629626337,-0.6268169021022602,-1.3414694560000502,-0.9052869651773768,0,-0.13899790812644644,0,0,1,0,0,0,0,0,0,0,0,0,0
143,0.636665004955273,-0.6176826362864679,-0.9534319304906913,-1.2852839629061523,0,-0.48081355616840427,0,0,0,0,1,0,0,0,0,0,0,0,1
54,0.4385768515256023,-0.3761904536237241,-0.5622559522349857,0.6147010257377248,0,-0.22303855730825342,1,0,0,0,0,0,0,0,0,0,0,0,1
7,0.19673452778807235,-0.13760846456842266,-0.012840738619519537,-0.14529296971982605,0,-0.11156953321178227,0,0,1,0,0,0,0,0,0,0,0,0,1
5,-0.45167828223904755,1.1978345167031514,1.8171131704315873,0.23470402800894935,1,1.2030373333850914,0,0,0,1,0,0,0,0,0,1,0,0,0
139,0.5837145758137556,-0.589336051094232,-0.6046010879164883,0.4247025268733371,0,-0.48081355616840427,0,0,0,0,1,0,0,0,0,0,0,0,1
7,0.19673452778807235,-0.13760846456842266,-0.012840738619519537,-0.14529296971982605,0,-0.11413004198385017,0,0,1,0,0,0,0,0,0,0,0,0,1
