question_id,b
93,-5.999939441488574
4,-5.999939441488574
94,-5.999939441488574
8,-5.999939441488574
138,-5.999939441488574
10,-5.999939441488574
11,-5.999939441488574
22,-5.999939441488574
12,-4.947863326286956
29,-4.947863326286956
30,-4.947863326286956
61,-4.936092576590562
65,-4.936092576590562
125,-4.887559531394231
121,-4.887559531394231
141,-4.887559531394231
92,-4.875048638653273
40,-4.225795609186619
2,-4.225795609186619
64,-4.213731528042416
74,-4.213731528042416
140,-4.163894667700814
131,-4.163894667700814
135,-4.163894667700814
130,-4.163894667700814
57,-3.792482240894323
42,-3.792482240894323
66,-3.7801070708989513
70,-3.7801070708989513
55,-3.477643676193277
27,-3.477643676193277
3,-3.477643676193277
53,-3.477643676193277
83,-3.46498110852604
117,-3.399186072923275
106,-3.399186072923275
96,-3.399186072923275
101,-3.399186072923275
99,-3.399186072923275
98,-3.399186072923275
13,-3.227854059412959
123,-3.1614288156054506
124,-3.1614288156054506
104,-3.1476043181519087
33,-3.019302095111319
68,-3.0060691722913155
62,-3.0060691722913155
137,-2.951393033220336
100,-2.9372633767914693
34,-2.8392130786014196
59,-2.8392130786014196
86,-2.8257060490583767
73,-2.8257060490583767
63,-2.8257060490583767
143,-2.7698573072187864
139,-2.7698573072187864
120,-2.755410758424787
19,-2.6799931017642975
39,-2.6799931017642975
35,-2.6799931017642975
80,-2.666212339748624
129,-2.609188038766016
115,-2.594438397235719
95,-2.594438397235719
54,-2.5367229265551483
88,-2.5226408641882228
97,-2.4493842311101433
46,-2.4059879627162397
69,-2.39165422187607
102,-2.3169021733834723
60,-2.285443620205972
87,-2.2708476661129127
110,-2.194595696551559
9,-2.173274812327312
84,-2.1583886458879866
142,-2.096627120413384
136,-2.096627120413384
91,-2.080617922608026
71,-2.052953079112775
105,-1.9736779128109496
52,-1.9689640822097665
58,-1.9689640822097665
89,-1.9534996374912406
126,-1.8893113954950236
150,-1.8893113954950236
113,-1.872651202771186
82,-1.8591352000525077
81,-1.8591352000525077
51,-1.7852617471263306
7,-1.7852617471263306
116,-1.7767335301455938
50,-1.6995178932697432
144,-1.5312892153135762
16,-1.4612394507699589
6,-1.4612394507699589
37,-1.3870076771581128
132,-1.372077612189984
79,-1.369421952982231
44,-1.3149336457141296
76,-1.2970225769755293
133,-1.2223663774269715
112,-1.2028995608691406
41,-1.1764085706065304
48,-1.1096017529914737
128,-1.0802896942774032
146,-1.0802896942774032
17,-0.9171908481052986
108,-0.7914593582706165
28,-0.7343712996295292
77,-0.713171550414941
149,-0.6864803144514149
127,-0.6242797286836945
31,-0.6165566555766102
5,-0.5012681816172301
43,-0.5012681816172301
36,-0.5012681816172301
114,-0.4775953914314963
111,-0.4775953914314963
148,-0.38181200121985626
14,-0.33182803584305903
78,-0.1950843469213376
85,-0.1950843469213376
72,-0.13923459917328337
147,-0.02917371364120958
75,-0.027832980592721948
15,0.054994318607125246
32,0.054994318607125246
107,0.05902167096043788
67,0.30740020834366116
134,0.3223672711709782
109,0.6636004925159144
119,0.7914232331921391
90,0.8348673594633678
38,0.8552858597187496
1,0.8552858597187496
122,0.9443098245856216
25,1.0441532024068334
26,1.1763681641579389
23,1.3869639569586905
118,1.5975082622088563
103,1.7766813698942625
145,2.2102200209644636
24,2.5366413385616307
20,2.5366413385616307
18,2.8391124441595914
47,3.0191867773599217
49,5.999939353126988
45,5.999939353126988
21,5.999939353126988
56,5.999939353126988
